"","Session_ID","Video_ID","Colour_code","Condition","Sat_ID","Fm_ID","Time","Date","Date2","Week","Combo_lek_week","Combo_lek","Female_max_id","Total_visit_duration_all_females","Total_visit_nr_all_females","Visit_occurrence","Total_nr_display","Interrupted_copulations_nr_OtherR","Interrupted_copulations_nr_OtherS","Interrupted_copulations_nr_PartnerR","Interrupted_copulations_nr_PartnerS","Successful_copulations_nr","Interrupted_total","Female_mount_max_id","Mount_nr","Female_max_crouching_id","Crouching_nr","Copulation_attempt","Copulation_nr","Total_successful_copulations","Co.display_total_nr_session","Total_copulation_nr","Co.display_total_duration_s_session","Co_disp_ord","Co_displ_occurrence","Co_disp_session","Single_display_total_duration_s_session","Single_display_to_satellite_total_nr_session","Single_display_to_both_total_nr_session","Single_display_to_both_total_duration_s_session","Paired_state_total_nr_session","Paired_state_total_duration_s_session","Lek_codisplay_nr","Lek_codisplay_dur_s","Lek_codisplay_occ","Cop_session","Lek_hierarchy","Copulation_occurrence_successful","Copulation_occurrence","Single_display_duration_mean_s_session","Single_display_duration_std_dev_session","Single_display_to_satellite_duration_mean_s_session","Single_display_to_satellite_duration_std_dev_session","Single_display_to_both_duration_mean_s_session","Single_display_to_both_duration_std_dev_session","Paired_state_duration_mean_s_session","Paired_state_duration_std_dev_session","Visits_longest_s","Session_nr"
"306","531_Fm1_m_Satellite","Lek1_2021_531_m","XO|XX","Satellite",NA,"Fm1","m",531,26,"7m","1_Lek1_7m","1_Lek1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"307","531_Fm2_a_Marginal","Lek3_2021_531_a","BlW|PP","Marginal",NA,"Fm2","a",531,26,"7a","1_Lek3_7a","1_Lek3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"308","531_Fm2_a_Marginal","Lek3_2021_531_a","GLb|GY","Marginal",NA,"Fm2","a",531,26,"7a","1_Lek3_7a","1_Lek3",1,37.677,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1641,0,0,0,0,0,0,0,0,0,1,0,0,29.73,21.44,NA,NA,NA,NA,NA,NA,37.7,1
"309","531_Fm2_a_Marginal","Lek3_2021_531_a","GO|LbY","Marginal",NA,"Fm2","a",531,26,"7a","1_Lek3_7a","1_Lek3",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"310","531_Fm2_m_Marginal","Lek3_2021_531_m","GLb|GY","Marginal",NA,"Fm2","m",531,26,"7m","1_Lek3_7m","1_Lek3",1,38.141,3,1,6,0,0,0,0,2,0,0,0,1,3,2,2,2,0,2,0,NA,0,0,1514,0,0,0,0,0,0,0,0,1,2,1,1,19.69,23.2,NA,NA,NA,NA,NA,NA,14.3,1
"311","531_Fm2_m_Marginal","Lek3_2021_531_m","GO|LbY","Marginal",NA,"Fm2","m",531,26,"7m","1_Lek3_7m","1_Lek3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"312","531_Fm2_m_Marginal","Lek3_2021_531_m","YO|OO","Marginal",NA,"Fm2","m",531,26,"7m","1_Lek3_7m","1_Lek3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"313","601_Fm1_a_Satellite","Lek1_2021_601_a","DbLb|LbY","Satellite",NA,"Fm1","a",601,27,"7a","1_Lek1_7a","1_Lek1",1,22.115,1,1,6,0,0,1,2,0,3,0,0,1,2,3,3,0,46,3,1635,1,1,1,95,0,0,0,1,1800.039,4,356.162,1,2,1,0,1,14.34,6.16,NA,NA,NA,NA,1800.04,NA,22.1,1
"314","601_Fm1_a_Satellite","Lek1_2021_601_a","RG|LbDb","Satellite",NA,"Fm1","a",601,27,"7a","1_Lek1_7a","1_Lek1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"315","601_Fm1_a_Satellite","Lek1_2021_601_a","XO|XX","Satellite",NA,"Fm1","a",601,27,"7a","1_Lek1_7a","1_Lek1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"316","601_Fm1_m_Satellite","Lek1_2021_601_m","DbLb|LbY","Satellite",NA,"Fm1","m",601,27,"7m","1_Lek1_7m","1_Lek1",1,67.777,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,1676,1,1,1,52,1,0,0,1,1797.955,10,847.985,1,0,1,0,0,2.975,3.32,2.75,NA,NA,NA,1797.95,NA,37.8,1
"317","601_Fm1_m_Satellite","Lek1_2021_601_m","RG|LbDb","Satellite",NA,"Fm1","m",601,27,"7m","1_Lek1_7m","1_Lek1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"318","601_Fm1_m_Satellite","Lek1_2021_601_m","XO|XX","Satellite",NA,"Fm1","m",601,27,"7m","1_Lek1_7m","1_Lek1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"319","601_Fm2_a_Marginal","Lek3_2021_601_a","BlW|PP","Marginal",NA,"Fm2","a",601,27,"7a","1_Lek3_7a","1_Lek3",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"320","601_Fm2_a_Marginal","Lek3_2021_601_a","GLb|GY","Marginal",NA,"Fm2","a",601,27,"7a","1_Lek3_7a","1_Lek3",2,142.662,5,1,6,0,0,0,0,3,0,2,5,2,13,8,3,3,0,3,0,NA,0,0,1738,0,0,0,0,0,0,0,0,1,1,1,1,29.25,34.59,NA,NA,NA,NA,NA,NA,97.9,1
