"","X","Session_ID","Video_ID","Colour_code","State","Condition","Bird_desc","Sat_ID","Fm_ID","Time","Date","Date2","Week","Combo_lek_week","Combo_lek","Female_max_id","Total_visit_nr_all_females","Visit_occurrence","Total_visit_duration_all_females","Total_nr_display","Total_nr_display_with_Sat","Total_nr_display_Res_ind","Total_nr_display_Sat_ind","Display_percentage","Female_cop_max_id","Interrupted_copulations_nr_OtherR","Interrupted_copulations_nr_OtherS","Interrupted_copulations_nr_PartnerR","Interrupted_copulations_nr_PartnerS","Successful_copulations_nr","Interrupted_total","Female_mount_max_id","Mount_nr","Female_max_crouching_id","Crouching_nr","Copulation_attempt","Copulation_nr","Copulation_occurrence_successful","Copulation_occurrence","Total_successful_copulations","Total_copulation_nr","Total_copulation_occurrence","Total_nr_display_30","Visits_longest_s","Lek_hierarchy","Co.display_total_nr_session","Co.display_total_duration_s_session","Co.display_duration_mean_s_session","Co.display_duration_std_dev_session","Single_display_total_nr_session","Single_display_total_duration_s_session","Single_display_duration_mean_s_session","Single_display_duration_std_dev_session","Single_display_to_female_total_nr_session","Single_display_to_female_total_duration_s_session","Single_display_to_female_duration_mean_s_session","Single_display_to_female_duration_std_dev_session","Single_display_to_satellite_total_nr_session","Single_display_to_satellite_total_duration_s_session","Single_display_to_satellite_duration_mean_s_session","Single_display_to_satellite_duration_std_dev_session","Single_display_to_both_total_nr_session","Single_display_to_both_total_duration_s_session","Single_display_to_both_duration_mean_s_session","Single_display_to_both_duration_std_dev_session","Paired_state_total_nr_session","Paired_state_total_duration_s_session","Paired_state_duration_mean_s_session","Paired_state_duration_std_dev_session","Lek_codisplay_nr","Lek_codisplay_dur_s","Lek_codisplay_occ","Cop_session","Aggression_total","Fight_dur_s","Subject","Behavior"
"416",416,"529_Fm1_a_Marginal","Lek1_2021_529_a","DbLb|RLb","Unpaired","Marginal","White/black",NA,"Fm1","a",529,24,"6","2_Lek1_6","2_Lek1",0,0,0,0,5,5,1,NA,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,17,31.799,NA,NA
"417",417,"529_Fm1_a_Marginal","Lek1_2021_529_a","GLb|GY","Unpaired","Marginal","brown black",NA,"Fm1","a",529,24,"6","2_Lek1_6","2_Lek1",1,3,1,202.504,5,5,1,0,83.3,2,0,0,0,0,4,0,2,7,2,12,11,4,1,1,4,4,1,2,149.2,2,NA,NA,NA,NA,31,1460,51.89,57.49,31,1459.92,51.89,57.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,9,15.799,NA,NA
"418",418,"529_Fm1_a_Marginal","Lek1_2021_529_a","XO|XX","Unpaired","Marginal","black/grey/beige",NA,"Fm1","a",529,24,"6","2_Lek1_6","2_Lek1",0,0,0,0,1,1,1,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,5,0,NA,NA
"419",419,"529_Fm1_m_Satellite","Lek2_2021_529_m","ODb|YG","Paired","Satellite","Black/w spots",NA,"Fm1","m",529,24,"6","2_Lek2_6","2_Lek2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,17,524,16,27.94,41,1133,26.49,22.2,41,1132.769,26.49,22.2,NA,NA,NA,NA,NA,NA,NA,NA,1,1770.239,1770.24,NA,NA,NA,NA,0,NA,NA,NA,NA
"420",420,"529_Fm1_m_Satellite","Lek2_2021_529_m","ODb|YG","Unpaired","Satellite","Black/w spots",NA,"Fm1","m",529,24,"6","2_Lek2_6","2_Lek2",0,0,0,0,6,6,1,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,NA,NA,NA,NA,2,26,12.78,NA,1,1.456,1.46,NA,1,24.099,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,28,14.807,NA,NA
"421",421,"529_Fm1_m_Satellite","Lek2_2021_529_m","RG|LbDb","Paired","Satellite","white",NA,"Fm1","m",529,24,"6","2_Lek2_6","2_Lek2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"422",422,"529_Fm1_m_Satellite","Lek2_2021_529_m","RG|LbDb","Unpaired","Satellite","white",NA,"Fm1","m",529,24,"6","2_Lek2_6","2_Lek2",0,0,0,0,2,2,1,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA
"423",423,"529_Fm1_m_Satellite","Lek2_2021_529_m","YO|OO","Paired","Satellite","Black",NA,"Fm1","m",529,24,"6","2_Lek2_6","2_Lek2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"424",424,"529_Fm1_m_Satellite","Lek2_2021_529_m","YO|OO","Unpaired","Satellite","Black",NA,"Fm1","m",529,24,"6","2_Lek2_6","2_Lek2",0,0,0,0,3,3,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4,2.32,NA,NA
"425",425,"529_Fm2_a_Satellite","Lek4_2021_529_a","DbLb|LbY","Paired","Satellite","black/red face",NA,"Fm2","a",529,24,"6","2_Lek4_6","2_Lek4",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
